station_name,Lon,Lat,station_id,base_attractiveness_score_VERY_EARLY_MORNING,base_attractiveness_score_EARLY_AM,base_attractiveness_score_AM_PEAK,base_attractiveness_score_MIDDAY_BASE,base_attractiveness_score_MIDDAY_SCHOOL,base_attractiveness_score_PM_PEAK,base_attractiveness_score_EVENING,base_attractiveness_score_LATE_EVENING,base_attractiveness_score_NIGHT
Chestnut Hill,-71.16461742,42.32675787,29,0.511916319,0.496884659,0.471496118,0.475606695,0.48751281,0.503903764,0.497020002,0.498452043,0.496680439
Chestnut Hill Avenue,-71.15288409,42.33835138,30,0.240882199,0.228605396,0.219015506,0.230702986,0.249258529,0.260144408,0.253317509,0.250015924,0.249553099
Chiswick Road,-71.15099675,42.34059152,32,0.235365556,0.223217064,0.214389692,0.225849077,0.24554077,0.255235442,0.248919814,0.247020489,0.246155986
Cleveland Circle,-71.14899951,42.33623061,33,0.26194441,0.248793487,0.236312273,0.2494487,0.268943694,0.281042362,0.273544773,0.267909152,0.269314038
Copley,-71.07740165,42.35007244,36,0.768121126,0.757611588,0.75777095,0.778132471,0.775749082,0.772100538,0.792034734,0.802312963,0.801394728
Coolidge Corner,-71.12130073,42.34216468,35,0.297281683,0.283619046,0.272278641,0.282827759,0.304373484,0.318717036,0.321046513,0.326499529,0.332740323
Dean Road,-71.14196716,42.33772891,38,0.238062907,0.225470565,0.215344868,0.228769449,0.251907818,0.262863479,0.258936285,0.256334978,0.259716432
Eliot,-71.21660769,42.31900258,40,0.77355144,0.75812357,0.728884934,0.732844745,0.737118262,0.750877966,0.748559223,0.754227267,0.756335274
Englewood Avenue,-71.14562033,42.33697749,41,0.246415136,0.233559724,0.222455346,0.236167878,0.258063024,0.26923753,0.263417403,0.259447173,0.26436268
Fairbanks Street,-71.13119299,42.33966169,42,0.282109259,0.26831382,0.256586793,0.269440923,0.293228176,0.306037487,0.305875402,0.308415434,0.313715357
Fenwood Road,-71.10591282,42.33361684,44,0.236518407,0.221782729,0.210043973,0.22505477,0.251953678,0.258822687,0.255878667,0.255650826,0.254248935
Fenway,-71.10428785,42.34535725,43,0.337561595,0.323952972,0.310354177,0.322997176,0.349451891,0.36093095,0.355761383,0.346601668,0.340351725
Government Center,-71.05939847,42.3595251,47,0.764104275,0.733961929,0.725640251,0.729006339,0.709501465,0.666116422,0.669872864,0.70703335,0.671683857
Griggs Street,-71.1346331,42.34871462,49,0.29537152,0.279968572,0.267983239,0.281703465,0.305869061,0.316074219,0.319710536,0.324334053,0.330882756
Haymarket,-71.0578155,42.36211976,53,0.801065343,0.867162373,0.923729941,0.88175532,0.778233393,0.703986838,0.71587568,0.78700155,0.718722862
Harvard Avenue,-71.13143807,42.35023368,51,0.332540019,0.315736935,0.301685963,0.316220142,0.340655487,0.351691878,0.357777036,0.365271901,0.372986664
Heath Street,-71.11032827,42.32827237,54,0.243924882,0.228736354,0.216114059,0.231936845,0.259308799,0.2678493,0.261374992,0.255605429,0.257859334
Hawes Street,-71.11145938,42.34480603,52,0.320003647,0.306596043,0.295195592,0.307020796,0.32714695,0.342374073,0.346209586,0.354124617,0.358176845
Hynes Convention Center,-71.08734707,42.34799493,55,0.661198706,0.658837895,0.660235492,0.679627245,0.675678924,0.684995187,0.723306394,0.724822262,0.738349168
Kenmore,-71.09563663,42.34895474,59,0.591555213,0.571066814,0.563483003,0.544210089,0.539470185,0.552714541,0.55509107,0.600622147,0.59267521
Kent Street,-71.11435736,42.34400885,60,0.289347347,0.276885272,0.266758751,0.27909679,0.300729583,0.314982903,0.318863223,0.325454534,0.330655974
Boston College,-71.16696675,42.34020153,15,0.284608973,0.272182765,0.257543716,0.264833561,0.279238986,0.291723445,0.285563183,0.281976017,0.284671484
Lechmere,-71.07707269,42.37094828,61,0.252516757,0.242146992,0.249570711,0.258351001,0.272667951,0.284159621,0.280181464,0.268016356,0.259601774
Longwood Medical Area,-71.09953719,42.33617687,63,0.256053023,0.243491143,0.228874279,0.241471403,0.263878172,0.268937216,0.267700954,0.270188103,0.265326742
Longwood,-71.1099462,42.34170003,62,0.297955629,0.284918231,0.273778491,0.286737894,0.315242307,0.326825324,0.322795076,0.313517804,0.308106036
Museum of Fine Arts,-71.09502125,42.33791763,68,0.352580524,0.338275806,0.316551649,0.332108204,0.353774245,0.358384657,0.359632387,0.365553051,0.36096294
Mission Park,-71.10945509,42.33320176,67,0.223689594,0.210710309,0.200066057,0.214171863,0.239391394,0.247338719,0.243299118,0.241564918,0.241544677
Newton Highlands,-71.20552678,42.32238296,70,0.721772586,0.705174568,0.675465905,0.680265177,0.686499784,0.702047561,0.698654198,0.703951591,0.704749395
Newton Centre,-71.19240201,42.32944447,69,0.607772075,0.591721006,0.563052872,0.567853937,0.576774832,0.593935399,0.588242922,0.591338569,0.591246774
North Station,-71.06014973,42.36528274,72,0.692576302,0.801498417,0.895480465,0.824383736,0.683343168,0.612384394,0.617752793,0.705668547,0.636372236
