Building,Time,Weekday,Student_Count_Building
Obrian,10:00,Monday,333
Park,10:00,Monday,181
Talbrt,10:00,Monday,257
Academ,10:00,Thursday,383
Alfier,10:00,Thursday,139
Alumni,10:00,Thursday,92
Baird,10:00,Thursday,163
Baldy,10:00,Thursday,320
Bell,10:00,Thursday,67
Bonner,10:00,Thursday,8
CFA,10:00,Thursday,118
Capen,10:00,Thursday,188
Cfa,10:00,Thursday,197
Clemen,10:00,Thursday,532
Cooke,10:00,Thursday,306
Davis,10:00,Thursday,97
Frnczk,10:00,Thursday,164
Furnas,10:00,Thursday,100
Grein,10:00,Thursday,1
Hoch,10:00,Thursday,170
Jacobs,10:00,Thursday,197
Knox,10:00,Thursday,685
Math,10:00,Thursday,97
Norton,10:00,Thursday,339
Nsc,10:00,Thursday,1084
Obrian,10:00,Thursday,466
Park,10:00,Thursday,190
Talbrt,10:00,Thursday,210
Ubcmns,10:00,Thursday,23
Wilkeson,10:00,Thursday,28
Academ,10:00,Tuesday,407
Alfier,10:00,Tuesday,139
Alumni,10:00,Tuesday,92
Arr,10:00,Tuesday,2
Baird,10:00,Tuesday,163
Baldy,10:00,Tuesday,320
Bell,10:00,Tuesday,79
Bonner,10:00,Tuesday,8
CFA,10:00,Tuesday,117
Capen,10:00,Tuesday,254
Cfa,10:00,Tuesday,128
Clemen,10:00,Tuesday,533
Cooke,10:00,Tuesday,306
Davis,10:00,Tuesday,97
Frnczk,10:00,Tuesday,182
Furnas,10:00,Tuesday,83
Grein,10:00,Tuesday,38
Hoch,10:00,Tuesday,175
Jacobs,10:00,Tuesday,161
Knox,10:00,Tuesday,685
Math,10:00,Tuesday,97
Norton,10:00,Tuesday,322
Nsc,10:00,Tuesday,1134
Obrian,10:00,Tuesday,521
Park,10:00,Tuesday,185
Talbrt,10:00,Tuesday,210
Ubcmns,10:00,Tuesday,23
Wilkeson,10:00,Tuesday,28
Academ,10:00,Wednesday,133
Alfier,10:00,Wednesday,123
Alumni,10:00,Wednesday,192
Baird,10:00,Wednesday,162
Baldy,10:00,Wednesday,371
Bell,10:00,Wednesday,98
Bonner,10:00,Wednesday,8
CFA,10:00,Wednesday,90
Capen,10:00,Wednesday,187
Cfa,10:00,Wednesday,187
Clemen,10:00,Wednesday,446
Cooke,10:00,Wednesday,201
Davis,10:00,Wednesday,120
Frnczk,10:00,Wednesday,117
Furnas,10:00,Wednesday,28
Hoch,10:00,Wednesday,149
Jacobs,10:00,Wednesday,235
Jarvis,10:00,Wednesday,5
Ketter,10:00,Wednesday,13
Knox,10:00,Wednesday,750
Math,10:00,Wednesday,39
Norton,10:00,Wednesday,230
Nsc,10:00,Wednesday,1239
Obrian,10:00,Wednesday,375
Park,10:00,Wednesday,212
Talbrt,10:00,Wednesday,279
Wilkeson,10:00,Wednesday,11
Academ,10:15,Friday,68
Alfier,10:15,Friday,25
Alumni,10:15,Friday,108
Arr,10:15,Friday,5
Baird,10:15,Friday,141
Baldy,10:15,Friday,343
Bell,10:15,Friday,80
Bonner,10:15,Friday,11
Capen,10:15,Friday,171
Cfa,10:15,Friday,9
Clemen,10:15,Friday,408
Cooke,10:15,Friday,137
Davis,10:15,Friday,120
Frnczk,10:15,Friday,151
Furnas,10:15,Friday,50
Hoch,10:15,Friday,149
Jacobs,10:15,Friday,236
Knox,10:15,Friday,753
Math,10:15,Friday,37
Norton,10:15,Friday,232
Nsc,10:15,Friday,1149
Obrian,10:15,Friday,317
Park,10:15,Friday,154
Talbrt,10:15,Friday,269
